Category,9,Missing,9,,,,,,3,,,,,,,
Admiration/Awe,admir*,ador*,awe*,dazed,dazzl*,enrapt*,enthrall*,fascina*,marveli*,rapt*,reveren*,spellbound,wonder*,worship*,,
Amusement,amus*,fun*,humor*,laugh*,play*,rollick*,smil*,,,,,,,,,
Anger,anger,angr*,cross*,enrag*,furious,fury,incens*,infuriat*,irate,ire*,mad*,rag*,resent*,temper,wrath*,wrought*
Anxiety,anguish*,anxi*,apprehens*,diffiden*,jitter*,nervous*,trepida*,wari*,wary,worried*,worry*,,,,,
Beingtouched,affect*,mov*,touch*,,,,,,,,,,,,,
Boredom,bor*,ennui,indifferen*,languor*,tedi*,wear*,,,,,,,,,,
Compassion,commiser*,compass*,empath*,pit*,,,,,,,,,,,,
Contempt,contempt*,denigr*,deprec*,deris*,despi*,disdain*,scorn*,,,,,,,,,
Contentment,comfortabl*,content*,satisf*,,,,,,,,,,,,,
Desperation,deject*,desolat*,despair*,desperat*,despond*,disconsolat*,hopeless*,inconsol*,,,,,,,,
Disappointment,comedown,disappoint*,discontent*,disenchant*,disgruntl*,disillusion*,frustrat*,jilt*,letdown,resign*,sour*,thwart*,,,,
Disgust,abhor*,avers*,detest*,disgust*,dislik*,disrelish,distast*,loath*,nause*,queas*,repugn*,repuls*,revolt*,sicken*,,
Dissatisfaction,dissatisf*,unhapp*,,,,,,,,,,,,,,
Envy,envious*,envy*,,,,,,,,,,,,,,
Fear,afraid*,aghast*,alarm*,dread*,fear*,fright*,horr*,panic*,scare*,terror*,,,,,,
Feelinglove,affection*,fond*,love*,friend*,tender*,,,,,,,,,,,
Gratitude,grat*,thank*,,,,,,,,,,,,,,
Guilt,blame*,contriti*,guilt*,remorse*,repent*,,,,,,,,,,,
Happiness,cheer*,bliss*,delect*,delight*,enchant*,enjoy*,felicit*,happ*,merr*,,,,,,,
Hatred,acrimon*,hat*,rancor*,,,,,,,,,,,,,
Hope,buoyan*,confident*,faith*,hop*,optim*,,,,,,,,,,,
Humility,devout*,humility,,,,,,,,,,,,,,
Interest/Enthusiasm,absor*,alert,animat*,ardor*,attenti*,curi*,eager*,enrapt*,engross*,enthusias*,ferv*,interes*,zeal*,,,
Irritation,annoy*,exasperat*,grump*,indign*,irrita*,sullen*,vex*,,,,,,,,,
Jealousy,covetous*,jealous*,,,,,,,,,,,,,,
Joy,ecstat*,elat*,euphor*,exalt*,exhilar*,exult*,flush*,glee*,joy*,jubil*,overjoyed,ravish*,rejoic*,,,
Longing,crav*,daydream*,desir*,fanta*,hanker*,hark*,homesick*,long*,nostalg*,pin*,regret*,wish*,wistf*,yearn*,,
Lust,carnal,lust*,climax,ecsta*,orgas*,sensu*,sexual*,,,,,,,,,
Pleasure/Enjoyment,enjoy*,delight*,glow*,pleas*,thrill*,zest*,,,,,,,,,,
Pride,pride*,proud*,,,,,,,,,,,,,,
Relaxation/Serenity,ease*,calm*,carefree,casual,detach*,dispassion*,equanim*,eventemper*,laid-back,peace*,placid*,poise*,relax*,seren*,tranquil*,unruffl*
Relief,relie*,,,,,,,,,,,,,,,
Sadness,chagrin*,deject*,dole*,gloom*,glum*,grie*,hopeles*,melancho*,mourn*,sad*,sorrow*,tear*,weep*,,,
Shame,abash*,asham*,crush*,disgrace*,embarras*,humili*,shame*,,,,,,,,,
Surprise,amaze*,astonish*,dumbfound*,startl*,stunn*,surpris*,aback,thunderstruck,wonder*,,,,,,,
Tension/Stress,activ*,agit*,discomfort*,distress*,strain*,stress*,tense*,,,,,,,,,
Positive,agree*,excellent,fair,fine,good,nice,positiv*,,,,,,,,,
Negative,bad,disagree*,lousy,negativ*,unpleas*,,,,,,,,,,,
